slot_id,piso,posicion,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo
1,0,0,,False,False,,,
2,0,1,,False,False,,,
3,0,2,,False,False,,,
4,0,3,,False,False,,,
5,0,4,,False,False,,,
6,0,5,,False,False,,,
7,0,6,,False,False,,,
8,1,0,,False,False,,,
9,1,1,,False,False,,,
10,1,2,,False,False,,,
11,1,3,,False,False,,,
12,1,4,,False,False,,,
13,1,5,,False,False,,,
14,1,6,,False,False,,,
15,2,0,,False,False,,,
16,2,1,,False,False,,,
17,2,2,,False,False,,,
18,2,3,,False,False,,,
19,2,4,,False,False,,,
20,2,5,,False,False,,,
21,2,6,,False,False,,,
