slot_id,piso,posicion,tipo_slot,reservado_mensual,ocupado,patente,hora_entrada,tipo_vehiculo
1,0,0,,False,False,,,
2,0,1,,False,False,,,
3,0,2,,False,False,,,
4,0,3,,False,False,,,
5,0,4,,False,False,,,
6,1,0,,False,False,,,
7,1,1,,False,False,,,
8,1,2,,False,False,,,
9,1,3,,False,False,,,
10,1,4,,False,False,,,
11,2,0,,False,False,,,
12,2,1,,False,False,,,
13,2,2,,False,False,,,
14,2,3,,False,False,,,
15,2,4,,False,False,,,
16,3,0,,False,False,,,
17,3,1,,False,False,,,
18,3,2,,False,False,,,
19,3,3,,False,False,,,
20,3,4,,False,False,,,
21,4,0,,False,False,,,
22,4,1,,False,False,,,
23,4,2,,False,False,,,
24,4,3,,False,False,,,
25,4,4,,False,False,,,
26,5,0,,False,False,,,
27,5,1,,False,False,,,
28,5,2,,False,False,,,
29,5,3,,False,False,,,
30,5,4,,False,False,,,
31,6,0,,False,False,,,
32,6,1,,False,False,,,
33,6,2,,False,False,,,
34,6,3,,False,False,,,
35,6,4,,False,False,,,
